Cap_Model,Scenario,FY,CoreSystemStressFlag,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
p99.5,Accelerated Transition,FY2027,False,307302,8.352757,6.858,11.7117195,22.845234
p99.5,Accelerated Transition,FY2027,True,7758,11.102669,7.9753265,17.377197,44.549957
p99.5,Accelerated Transition,FY2028,False,306898,15.326154,12.799431,21.310165,39.55649
p99.5,Accelerated Transition,FY2028,True,8162,19.997103,15.2107315,29.493546,71.67999
p99.5,Accelerated Transition,FY2029,False,306645,24.450855,20.724945,34.34204,61.050392
p99.5,Accelerated Transition,FY2029,True,8415,31.758385,24.790787,42.44053,105.45022
p99.5,Accelerated Transition,FY2030,False,306578,37.93195,32.8674,53.907814,91.221375
p99.5,Accelerated Transition,FY2030,True,8482,48.53477,39.308907,64.12207,130.9346
p99.5,Slower Growth,FY2026,False,307922,1.396466,0.80898285,2.1485977,5.890591
p99.5,Slower Growth,FY2026,True,7138,2.0656166,0.19595337,2.4958458,13.773825
p99.5,Slower Growth,FY2027,False,307769,2.78775,2.0429077,4.1254654,9.528294
p99.5,Slower Growth,FY2027,True,7291,3.86901,1.6035614,5.482956,22.775826
p99.5,Slower Growth,FY2028,False,307653,4.179364,3.2338943,6.052353,12.960584
p99.5,Slower Growth,FY2028,True,7407,5.5932174,3.1741028,8.740135,27.899109
p99.5,Slower Growth,FY2029,False,307517,5.921836,4.7420692,8.414368,17.120642
p99.5,Slower Growth,FY2029,True,7543,7.887108,5.0470123,12.159363,35.780563
p99.5,Slower Growth,FY2030,False,307336,8.003102,6.5645123,11.252888,21.997705
p99.5,Slower Growth,FY2030,True,7724,10.69992,7.6031,16.664902,43.56238
p99.5,Step Change,FY2026,False,307807,2.439499,1.7399597,3.6388054,8.690096
p99.5,Step Change,FY2026,True,7253,3.419084,1.2268677,4.7474136,20.887447
p99.5,Step Change,FY2027,False,307535,5.5704703,4.443939,7.9501114,16.30344
p99.5,Step Change,FY2027,True,7525,7.4314895,4.6311035,11.391968,33.841095
p99.5,Step Change,FY2028,False,307242,9.050093,7.460539,12.647625,24.495302
p99.5,Step Change,FY2028,True,7818,11.959184,8.637043,18.736435,46.594246
p99.5,Step Change,FY2029,False,306964,13.590484,11.299166,18.902323,35.27779
p99.5,Step Change,FY2029,True,8096,17.714733,13.534294,26.904324,64.77693
p99.5,Step Change,FY2030,False,306748,19.537306,16.36322,27.241568,49.754734
p99.5,Step Change,FY2030,True,8312,25.225712,19.696007,35.310196,85.190346
p99.9,Accelerated Transition,FY2026,False,307707,3.517,2.649208,5.1052856,11.264821
p99.9,Accelerated Transition,FY2026,True,7353,5.76744,2.3660583,7.6643753,34.88436
p99.9,Accelerated Transition,FY2027,False,307302,8.454989,6.8776703,11.746637,23.004545
p99.9,Accelerated Transition,FY2027,True,7758,13.063143,7.5573044,18.879307,64.06332
p99.9,Accelerated Transition,FY2028,False,306898,15.50486,12.830387,21.283405,40.27601
p99.9,Accelerated Transition,FY2028,True,8162,23.342857,15.713974,31.97216,94.63901
p99.9,Accelerated Transition,FY2029,False,306645,24.750906,20.717712,34.090576,62.796806
p99.9,Accelerated Transition,FY2029,True,8415,37.377914,26.570496,47.58458,132.02455
p99.9,Accelerated Transition,FY2030,False,306578,38.487137,32.789436,53.508564,94.689644
p99.9,Accelerated Transition,FY2030,True,8482,55.894478,41.039932,74.328674,169.38858
p99.9,Slower Growth,FY2026,False,307922,1.4031973,0.8132925,2.146099,5.737607
p99.9,Slower Growth,FY2026,True,7138,2.6604066,0.146595,2.7085571,16.589798
p99.9,Slower Growth,FY2027,False,307769,2.8149343,2.0456924,4.130211,9.473276
p99.9,Slower Growth,FY2027,True,7291,4.7227554,1.5133362,6.1037903,27.683647
p99.9,Slower Growth,FY2028,False,307653,4.221905,3.242508,6.0597,13.026251
p99.9,Slower Growth,FY2028,True,7407,6.82247,3.162796,9.569138,39.40844
p99.9,Slower Growth,FY2029,False,307517,5.9801617,4.7714386,8.408287,17.208872
p99.9,Slower Growth,FY2029,True,7543,9.57978,4.952675,13.450096,51.439392
p99.9,Slower Growth,FY2030,False,307336,8.099056,6.5786934,11.269264,22.103214
p99.9,Slower Growth,FY2030,True,7724,12.633755,7.210083,18.311829,62.226387
p99.9,Step Change,FY2026,False,307807,2.461784,1.7391129,3.649269,8.600939
p99.9,Step Change,FY2026,True,7253,4.1625223,1.105957,5.1983643,25.562298
p99.9,Step Change,FY2027,False,307535,5.6227603,4.459152,7.9392014,16.400127
p99.9,Step Change,FY2027,True,7525,9.016327,4.673523,12.479294,49.066917
p99.9,Step Change,FY2028,False,307242,9.161855,7.4733276,12.676096,24.680573
p99.9,Step Change,FY2028,True,7818,14.046013,8.367386,20.537323,66.83948
p99.9,Step Change,FY2029,False,306964,13.752158,11.344849,18.910393,35.947357
p99.9,Step Change,FY2029,True,8096,20.682652,13.652306,28.655373,85.78464
p99.9,Step Change,FY2030,False,306748,19.767626,16.38109,27.063425,50.807854
p99.9,Step Change,FY2030,True,8312,29.572733,21.061775,38.42415,111.68562
