Cap_Model,Scenario,FY,PeakPeriod,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
p99,Accelerated Transition,FY2029,Shoulder,170664,26.023415,23.183168,37.22905,64.00841
p99,Accelerated Transition,FY2030,Off-peak,105012,34.497864,28.745972,46.331207,78.763016
p99,Accelerated Transition,FY2030,Peak,39384,34.62446,30.918282,52.36657,88.33227
p99,Accelerated Transition,FY2030,Shoulder,170664,39.1391,35.51847,56.91976,94.79667
p99,Slower Growth,FY2026,Off-peak,105012,1.2234048,0.7284584,1.7530813,4.9098577
p99,Slower Growth,FY2026,Peak,39384,1.3196311,0.463562,2.1150951,7.2878213
p99,Slower Growth,FY2026,Shoulder,170664,1.5136373,0.9476547,2.4087582,6.190741
p99,Slower Growth,FY2027,Off-peak,105012,2.440648,1.7378044,3.3256693,8.046587
p99,Slower Growth,FY2027,Peak,39384,2.6018639,1.613575,4.236639,11.9527645
p99,Slower Growth,FY2027,Shoulder,170664,3.0394292,2.3605022,4.624402,10.027648
p99,Slower Growth,FY2028,Off-peak,105012,3.654442,2.7304115,4.9245033,10.899223
p99,Slower Growth,FY2028,Peak,39384,3.8828297,2.7688675,6.2543087,15.985352
p99,Slower Growth,FY2028,Shoulder,170664,4.554236,3.731804,6.714423,13.683338
p99,Slower Growth,FY2029,Off-peak,105012,5.165495,3.9946632,6.8396044,14.483016
p99,Slower Growth,FY2029,Peak,39384,5.4688053,4.244339,8.771347,20.373386
p99,Slower Growth,FY2029,Shoulder,170664,6.4569397,5.455763,9.346943,18.12909
p99,Slower Growth,FY2030,Off-peak,105012,6.9744515,5.506115,9.199482,18.765738
p99,Slower Growth,FY2030,Peak,39384,7.3821793,5.9398613,11.833889,25.319155
p99,Slower Growth,FY2030,Shoulder,170664,8.706358,7.471493,12.540695,23.26033
p99,Step Change,FY2026,Off-peak,105012,2.1334958,1.4931831,2.9287987,7.2651167
p99,Step Change,FY2026,Peak,39384,2.2902033,1.3477325,3.7465572,10.83248
p99,Step Change,FY2026,Shoulder,170664,2.6591163,2.0060654,4.078861,9.094419
p99,Step Change,FY2027,Off-peak,105012,4.8618236,3.7389336,6.480833,13.758258
p99,Step Change,FY2027,Peak,39384,5.1561947,3.968525,8.268055,19.434195
p99,Step Change,FY2027,Shoulder,170664,6.073888,5.1235313,8.827164,17.24182
