Cap_Model,Scenario,FY,DemandStressFlag,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
p99.5,Accelerated Transition,FY2027,False,215621,8.099856,6.7465973,10.908615,19.516068
p99.5,Accelerated Transition,FY2027,True,99439,9.115682,7.3420258,14.498184,30.653233
p99.5,Accelerated Transition,FY2028,False,196066,14.804817,12.547842,19.735518,32.891106
p99.5,Accelerated Transition,FY2028,True,118994,16.505547,13.614216,25.407536,49.64879
p99.5,Accelerated Transition,FY2029,False,166977,23.534105,20.258636,31.379808,49.729378
p99.5,Accelerated Transition,FY2029,True,148083,25.899836,21.784912,39.475925,72.37055
p99.5,Accelerated Transition,FY2030,False,123281,36.62591,32.21067,48.2437,73.4713
p99.5,Accelerated Transition,FY2030,True,191779,39.240448,33.862976,59.173965,101.92813
p99.5,Slower Growth,FY2026,False,233077,1.3526521,0.82115936,2.0239487,5.1200933
p99.5,Slower Growth,FY2026,True,81983,1.5792894,0.70970917,2.6711502,8.643702
p99.5,Slower Growth,FY2027,False,229775,2.6977239,2.0301056,3.8572798,8.301114
p99.5,Slower Growth,FY2027,True,85285,3.1227355,2.0676193,5.303055,13.87089
p99.5,Slower Growth,FY2028,False,226384,4.051078,3.193306,5.62185,11.171581
p99.5,Slower Growth,FY2028,True,88676,4.624968,3.411953,7.763893,18.30883
p99.5,Slower Growth,FY2029,False,222073,5.748029,4.673752,7.841728,14.793045
p99.5,Slower Growth,FY2029,True,92987,6.496344,5.042984,10.630867,23.690128
p99.5,Slower Growth,FY2030,False,216613,7.764994,6.459732,10.455734,18.848053
p99.5,Slower Growth,FY2030,True,98447,8.738601,7.033264,13.942329,29.665817
p99.5,Step Change,FY2026,False,230647,2.3584383,1.7335091,3.4012947,7.5255814
p99.5,Step Change,FY2026,True,84413,2.7451549,1.7267609,4.6744537,12.696676
p99.5,Step Change,FY2027,False,222973,5.4082828,4.377899,7.419647,14.074294
p99.5,Step Change,FY2027,True,92087,6.1152563,4.7279663,10.071098,22.538752
p99.5,Step Change,FY2028,False,213677,8.772193,7.342453,11.780159,20.951588
p99.5,Step Change,FY2028,True,101383,9.860128,7.954506,15.571663,32.61048
p99.5,Step Change,FY2029,False,201062,13.144036,11.101128,17.563051,29.625633
p99.5,Step Change,FY2029,True,113998,14.670796,11.996628,22.697187,45.024117
p99.5,Step Change,FY2030,False,183230,18.793337,15.997047,25.129084,40.771275
p99.5,Step Change,FY2030,True,131830,20.930006,17.40897,31.853792,60.681675
p99.9,Accelerated Transition,FY2026,False,228117,3.3441384,2.6060486,4.713196,9.410329
p99.9,Accelerated Transition,FY2026,True,86943,4.1608715,2.8453598,6.8327713,17.558214
p99.9,Accelerated Transition,FY2027,False,215621,8.047128,6.7302017,10.836323,19.20485
p99.9,Accelerated Transition,FY2027,True,99439,9.698904,7.49263,14.896492,33.576553
p99.9,Accelerated Transition,FY2028,False,196066,14.742694,12.569635,19.606537,32.525322
p99.9,Accelerated Transition,FY2028,True,118994,17.298298,13.755178,25.828903,53.987255
p99.9,Accelerated Transition,FY2029,False,166977,23.474577,20.2432,30.954681,49.37806
p99.9,Accelerated Transition,FY2029,True,148083,26.907627,21.860817,39.623848,77.76895
p99.9,Accelerated Transition,FY2030,False,123281,36.540432,31.910229,47.513687,73.32501
p99.9,Accelerated Transition,FY2030,True,191779,40.508427,34.05744,59.568634,108.55709
p99.9,Slower Growth,FY2026,False,233077,1.3358282,0.82159424,1.9979172,4.9182816
p99.9,Slower Growth,FY2026,True,81983,1.7041881,0.7262268,2.823597,9.165332
p99.9,Slower Growth,FY2027,False,229775,2.6752293,2.0174885,3.8135755,8.017167
p99.9,Slower Growth,FY2027,True,85285,3.3544264,2.1477203,5.5606537,14.984497
p99.9,Slower Growth,FY2028,False,226384,4.0159707,3.1780138,5.5926437,10.934662
p99.9,Slower Growth,FY2028,True,88676,4.964864,3.5313034,8.069305,19.929808
p99.9,Slower Growth,FY2029,False,222073,5.6977262,4.6707764,7.757337,14.487661
p99.9,Slower Growth,FY2029,True,92987,6.946676,5.2168884,10.969532,25.624065
p99.9,Slower Growth,FY2030,False,216613,7.712953,6.4375763,10.406044,18.577213
p99.9,Slower Growth,FY2030,True,98447,9.304384,7.190048,14.341541,32.523758
p99.9,Step Change,FY2026,False,230647,2.337869,1.7164307,3.3720074,7.2582617
p99.9,Step Change,FY2026,True,84413,2.9464967,1.8110275,4.903206,13.6599
p99.9,Step Change,FY2027,False,222973,5.3587456,4.367161,7.3268414,13.779509
p99.9,Step Change,FY2027,True,92087,6.5393353,4.886215,10.393906,24.58012
p99.9,Step Change,FY2028,False,213677,8.71796,7.3181305,11.722099,20.530018
p99.9,Step Change,FY2028,True,101383,10.474049,8.145248,15.973251,35.801453
p99.9,Step Change,FY2029,False,201062,13.089859,11.144318,17.4748,29.193645
p99.9,Step Change,FY2029,True,113998,15.412472,12.132702,23.211945,49.107967
p99.9,Step Change,FY2030,False,183230,18.731516,16.010948,24.835835,40.475807
p99.9,Step Change,FY2030,True,131830,21.825932,17.511652,32.307205,65.4254
