Cap_Model,Scenario,FY,LowRenewableFlag,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
p99.5,Accelerated Transition,FY2027,False,236295,8.598031,7.199051,12.163696,23.163893
p99.5,Accelerated Transition,FY2027,True,78765,7.887789,6.068283,10.444199,24.028065
p99.5,Accelerated Transition,FY2028,False,236295,15.698771,13.304062,22.031769,39.868523
p99.5,Accelerated Transition,FY2028,True,78765,14.692326,11.74736,19.499832,41.58764
p99.5,Accelerated Transition,FY2029,False,236295,24.846123,21.279446,35.190956,61.484695
p99.5,Accelerated Transition,FY2029,True,78765,24.04577,19.676365,32.260178,62.772846
p99.5,Accelerated Transition,FY2030,False,236295,38.068,33.312134,54.371803,92.234215
p99.5,Accelerated Transition,FY2030,True,78765,38.66559,32.292885,53.264908,93.062645
p99.5,Slower Growth,FY2026,False,236295,1.4438725,0.8557434,2.2543297,6.0056653
p99.5,Slower Growth,FY2026,True,78765,1.3148879,0.65356445,1.8602905,5.8649964
p99.5,Slower Growth,FY2027,False,236295,2.8750677,2.1508179,4.3065796,9.615835
p99.5,Slower Growth,FY2027,True,78765,2.6258855,1.7203674,3.6063843,9.955765
p99.5,Slower Growth,FY2028,False,236295,4.3060937,3.3932037,6.314151,13.102452
p99.5,Slower Growth,FY2028,True,78765,3.932132,2.8018494,5.3237,13.686728
p99.5,Slower Growth,FY2029,False,236295,6.103104,4.976246,8.767996,17.305943
p99.5,Slower Growth,FY2029,True,78765,5.566237,4.134163,7.415695,17.95518
p99.5,Slower Growth,FY2030,False,236295,8.24459,6.8853226,11.685177,22.318068
p99.5,Slower Growth,FY2030,True,78765,7.5431004,5.7864456,9.994415,23.135473
p99.5,Step Change,FY2026,False,236295,2.516474,1.83284,3.8010674,8.789379
p99.5,Step Change,FY2026,True,78765,2.2987783,1.463562,3.1730194,9.040027
p99.5,Step Change,FY2027,False,236295,5.738588,4.6618958,8.2872925,16.506548
p99.5,Step Change,FY2027,True,78765,5.243914,3.874878,6.998657,17.064793
p99.5,Step Change,FY2028,False,236295,9.306122,7.830063,13.116947,24.813345
p99.5,Step Change,FY2028,True,78765,8.570751,6.6158257,11.353073,25.78803
p99.5,Step Change,FY2029,False,236295,13.937462,11.761097,19.53979,35.635704
p99.5,Step Change,FY2029,True,78765,12.973469,10.251495,17.227325,37.10307
p99.5,Step Change,FY2030,False,236295,19.943155,16.890411,28.04061,50.06113
p99.5,Step Change,FY2030,True,78765,18.920048,15.25061,25.157547,51.699993
p99.9,Accelerated Transition,FY2026,False,236295,3.6451917,2.805626,5.328745,11.4303875
p99.9,Accelerated Transition,FY2026,True,78765,3.3425117,2.2120552,4.461525,12.136194
p99.9,Accelerated Transition,FY2027,False,236295,8.727843,7.226158,12.249888,23.25856
p99.9,Accelerated Transition,FY2027,True,78765,8.09031,5.975464,10.368465,25.116241
p99.9,Accelerated Transition,FY2028,False,236295,15.920288,13.403889,22.044632,40.654316
p99.9,Accelerated Transition,FY2028,True,78765,15.070784,11.402756,19.378494,43.885258
p99.9,Accelerated Transition,FY2029,False,236295,25.214567,21.417862,34.98252,63.196186
p99.9,Accelerated Transition,FY2029,True,78765,24.708954,19.278122,31.979858,67.34018
p99.9,Accelerated Transition,FY2030,False,236295,38.741512,33.36302,54.242443,95.0598
p99.9,Accelerated Transition,FY2030,True,78765,39.59856,32.091278,52.473404,101.15397
p99.9,Slower Growth,FY2026,False,236295,1.4652569,0.86405945,2.2625742,5.841713
p99.9,Slower Growth,FY2026,True,78765,1.3309517,0.6446533,1.8252411,5.875684
p99.9,Slower Growth,FY2027,False,236295,2.9157922,2.1717682,4.3183556,9.609143
p99.9,Slower Growth,FY2027,True,78765,2.6889606,1.6849442,3.6202393,10.083899
p99.9,Slower Growth,FY2028,False,236295,4.370102,3.420555,6.316799,13.153797
p99.9,Slower Growth,FY2028,True,78765,4.0218706,2.740303,5.3467865,14.1281185
