Cap_Model,Scenario,FY,DayType,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
p99,Step Change,FY2030,Weekday,224628,18.754341,15.713177,26.6764,49.33283
p99,Step Change,FY2030,Weekend,90432,20.568838,17.719353,28.342419,48.590782
p99.5,Accelerated Transition,FY2026,Weekday,224628,3.453675,2.5557327,5.0199294,11.610814
p99.5,Accelerated Transition,FY2026,Weekend,90432,3.6484053,2.8354912,5.309318,11.041584
p99.5,Accelerated Transition,FY2027,Weekday,224628,8.258297,6.6679153,11.551853,23.725563
p99.5,Accelerated Transition,FY2027,Weekend,90432,8.823301,7.391136,12.308426,22.497606
p99.5,Accelerated Transition,FY2028,Weekday,224628,15.121702,12.444527,21.042532,40.802086
p99.5,Accelerated Transition,FY2028,Weekend,90432,16.255579,13.877899,22.297546,38.899254
p99.5,Accelerated Transition,FY2029,Weekday,224628,24.082546,20.157494,34.03074,62.172714
p99.5,Accelerated Transition,FY2029,Weekend,90432,26.045708,22.466324,35.58071,61.220997
p99.5,Accelerated Transition,FY2030,Weekday,224628,37.280167,32.21706,53.578907,91.96098
p99.5,Accelerated Transition,FY2030,Weekend,90432,40.545425,34.932922,55.415466,93.65075
p99.5,Slower Growth,FY2026,Weekday,224628,1.39147,0.77549744,2.1172981,6.0470285
p99.5,Slower Growth,FY2026,Weekend,90432,1.4616933,0.8738041,2.2483444,5.8421407
p99.5,Slower Growth,FY2027,Weekday,224628,2.7691634,1.9719505,4.0741787,9.846118
p99.5,Slower Growth,FY2027,Weekend,90432,2.9210944,2.196537,4.302966,9.369741
p99.5,Slower Growth,FY2028,Weekday,224628,4.144631,3.134325,5.9819336,13.402842
p99.5,Slower Growth,FY2028,Weekend,90432,4.3814435,3.4828987,6.326844,12.812333
p99.5,Slower Growth,FY2029,Weekday,224628,5.8589973,4.589617,8.315143,17.700922
p99.5,Slower Growth,FY2029,Weekend,90432,6.2418475,5.1292334,8.8204,16.919333
p99.5,Slower Growth,FY2030,Weekday,224628,7.9163647,6.382412,11.104919,22.87329
p99.5,Slower Growth,FY2030,Weekend,90432,8.4488945,7.0657616,11.811106,21.650175
p99.5,Step Change,FY2026,Weekday,224628,2.4249132,1.6771698,3.5893745,8.969278
p99.5,Step Change,FY2026,Weekend,90432,2.554296,1.8681183,3.8006115,8.579107
p99.5,Step Change,FY2027,Weekday,224628,5.512732,4.308182,7.8529396,16.845297
p99.5,Step Change,FY2027,Weekend,90432,5.868748,4.800894,8.334734,16.149399
p99.5,Step Change,FY2028,Weekday,224628,8.947304,7.2541733,12.468292,25.444832
p99.5,Step Change,FY2028,Weekend,90432,9.556908,8.063354,13.289661,24.061281
p99.5,Step Change,FY2029,Weekday,224628,13.418642,10.987583,18.662308,36.644005
p99.5,Step Change,FY2029,Weekend,90432,14.386557,12.255577,19.815067,34.524376
p99.5,Step Change,FY2030,Weekday,224628,19.244587,15.898674,26.972311,50.994156
p99.5,Step Change,FY2030,Weekend,90432,20.787254,17.75275,28.435644,49.276352
p99.9,Accelerated Transition,FY2026,Weekday,224628,3.5436344,2.5651722,5.055973,11.794144
p99.9,Accelerated Transition,FY2026,Weekend,90432,3.6338239,2.8455124,5.317212,10.998046
p99.9,Accelerated Transition,FY2027,Weekday,224628,8.484238,6.689659,11.617477,24.206444
p99.9,Accelerated Transition,FY2027,Weekend,90432,8.777664,7.373558,12.284567,22.438213
p99.9,Accelerated Transition,FY2028,Weekday,224628,15.483051,12.484066,21.048784,42.381172
p99.9,Accelerated Transition,FY2028,Weekend,90432,16.266457,13.860177,22.310688,39.169018
p99.9,Accelerated Transition,FY2029,Weekday,224628,24.663462,20.177132,33.81501,65.10771
p99.9,Accelerated Transition,FY2029,Weekend,90432,26.143103,22.37034,35.45009,61.83351
p99.9,Accelerated Transition,FY2030,Weekday,224628,38.209858,32.209854,53.237232,97.35804
p99.9,Accelerated Transition,FY2030,Weekend,90432,40.80859,34.843113,55.32302,95.01079
p99.9,Slower Growth,FY2026,Weekday,224628,1.4238585,0.7792473,2.122199,5.924616
p99.9,Slower Growth,FY2026,Weekend,90432,1.45111,0.86961937,2.229107,5.720004
p99.9,Slower Growth,FY2027,Weekday,224628,2.8394246,1.9745598,4.090639,9.903643
p99.9,Slower Growth,FY2027,Weekend,90432,2.907918,2.1991138,4.305073,9.250779
p99.9,Slower Growth,FY2028,Weekday,224628,4.251327,3.1459236,6.013012,13.68573
p99.9,Slower Growth,FY2028,Weekend,90432,4.361828,3.4757538,6.301964,12.713568
p99.9,Slower Growth,FY2029,Weekday,224628,6.009528,4.6292496,8.324026,18.051676
p99.9,Slower Growth,FY2029,Weekend,90432,6.207465,5.124668,8.790996,16.87254
p99.9,Slower Growth,FY2030,Weekday,224628,8.131713,6.405532,11.15958,23.31368
p99.9,Slower Growth,FY2030,Weekend,90432,8.405257,7.0721645,11.789673,21.639015
p99.9,Step Change,FY2026,Weekday,224628,2.4844851,1.6800499,3.604455,8.949661
p99.9,Step Change,FY2026,Weekend,90432,2.5418012,1.8722229,3.7986832,8.411722
p99.9,Step Change,FY2027,Weekday,224628,5.6514354,4.3296776,7.8535805,17.180424
p99.9,Step Change,FY2027,Weekend,90432,5.833918,4.7990303,8.298574,16.100054
p99.9,Step Change,FY2028,Weekday,224628,9.191842,7.273987,12.556592,25.95287
p99.9,Step Change,FY2028,Weekend,90432,9.509609,8.016734,13.224658,24.007458
p99.9,Step Change,FY2029,Weekday,224628,13.745697,11.051388,18.70138,37.864594
p99.9,Step Change,FY2029,Weekend,90432,14.388663,12.255104,19.856535,34.99977
p99.9,Step Change,FY2030,Weekday,224628,19.703705,15.946566,26.81354,53.121822
p99.9,Step Change,FY2030,Weekend,90432,20.827627,17.798195,28.250193,49.584435
